genre,n_texts,avg_characters,sd_characters,avg_tokens,sd_tokens,avg_types,sd_types,total_tokens,corpus_types,overall_TTR_of_genre
FAIRY,760,525.828947368421,249.31685255631524,46.1578947368421,21.388034673213447,40.13815789473684,18.081374158615194,35080,7368,0.21003420752565563
NOVEL-CONT,799,377.0525657071339,174.24683537843336,33.94117647058823,15.65016335858905,31.519399249061326,14.073716117391726,27119,8479,0.3126590213503448
